qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
V7AZL8.1,V7AZL8.1,100.000,354,0,0,1,354,1,354,0.0,719
V7AZL8.1,A0A445BPW7.1,64.970,334,107,3,14,346,4,328,1.85e-141,402
V7AZL8.1,A0A9D5AS74.1,66.667,330,98,3,17,346,23,340,1.68e-132,380
V7AZL8.1,A0A4P1RTN8.1,63.739,353,104,7,1,347,1,335,1.43e-131,377
V7AZL8.1,A0A445G487.1,68.847,321,88,3,11,331,13,321,2.41e-130,373
V7AZL8.1,A0A8B8MFL1.1,75.089,281,67,2,51,331,1,278,2.21e-118,341
V7AZL8.1,A0A061FV42.1,57.726,343,132,6,3,340,4,338,4.24e-118,337
V7AZL8.1,A0A7J7C9N5.1,62.229,323,113,4,28,346,29,346,3.14e-117,341
V7AZL8.1,A0A6P5YBE8.1,58.754,337,122,6,16,346,19,344,7.70e-115,335
V7AZL8.1,M1CKX2.1,57.465,355,133,7,1,346,1,346,7.94e-112,327
V7AZL8.1,A0A059CY44.1,57.353,340,131,4,17,346,16,351,3.44e-107,315
V7AZL8.1,A0A1R3IG29.1,58.000,350,131,7,5,346,7,348,1.65e-101,301
V7AZL8.1,A0A6P6X6Z4.1,54.017,361,143,8,1,346,1,353,1.16e-100,298
V7AZL8.1,A0A6A6MU27.1,59.893,187,72,2,14,200,18,201,1.22e-72,224
V7AZL8.1,A0A1R3HBE1.1,54.396,182,74,4,3,178,4,182,9.52e-52,169
V7AZL8.1,J3KVP0.1,35.714,322,170,7,28,331,11,313,6.32e-49,162
V7AZL8.1,A0A9E7LCR9.1,40.810,321,164,6,45,343,95,411,3.90e-39,137
V7AZL8.1,A0A804PSI5.1,41.964,224,85,6,49,269,35,216,9.58e-39,134
V7AZL8.1,A0A8T2QHP0.1,37.450,251,126,8,41,269,67,308,2.36e-31,115
V7AZL8.1,A0A8T2T131.1,31.250,272,141,8,51,298,65,314,1.53e-24,95.5
A0A8T2QHP0.1,A0A8T2QHP0.1,100.000,612,0,0,1,612,1,612,0.0,1249
A0A8T2QHP0.1,A0A8T2T131.1,43.429,624,294,16,1,603,1,586,3.87e-128,381
A0A8T2QHP0.1,A0A6P6X6Z4.1,39.344,244,125,6,70,308,47,272,1.13e-37,137
A0A8T2QHP0.1,M1CKX2.1,38.000,250,138,6,71,319,45,278,6.26e-37,135
A0A8T2QHP0.1,A0A061FV42.1,38.430,242,125,6,71,308,48,269,6.63e-37,132
A0A8T2QHP0.1,A0A6P5YBE8.1,39.669,242,122,8,71,308,48,269,1.11e-34,129
A0A8T2QHP0.1,A0A7J7C9N5.1,38.235,238,132,6,71,308,46,268,2.26e-34,127
A0A8T2QHP0.1,A0A6A6MU27.1,37.079,178,82,3,71,236,48,207,9.68e-33,122
A0A8T2QHP0.1,A0A1R3IG29.1,35.593,236,136,3,71,306,52,271,9.63e-32,120
A0A8T2QHP0.1,V7AZL8.1,37.450,251,126,8,67,308,41,269,4.45e-31,115
A0A8T2QHP0.1,A0A059CY44.1,36.179,246,126,5,71,308,44,266,7.05e-31,117
A0A8T2QHP0.1,A0A4P1RTN8.1,29.209,493,243,21,71,502,47,494,1.19e-30,116
A0A8T2QHP0.1,A0A8B8MFL1.1,40.994,161,86,5,77,236,1,153,8.34e-30,113
A0A8T2QHP0.1,A0A9D5AS74.1,33.600,250,127,6,71,308,51,273,9.02e-30,114
A0A8T2QHP0.1,A0A445BPW7.1,35.565,239,117,7,71,300,35,245,1.76e-29,112
A0A8T2QHP0.1,A0A445G487.1,29.454,421,222,14,71,458,47,425,4.20e-29,111
A0A8T2QHP0.1,J3KVP0.1,30.315,254,141,6,74,319,28,253,2.03e-28,108
A0A8T2QHP0.1,A0A1R3HBE1.1,40.541,148,67,2,71,211,52,185,1.36e-24,97.1
A0A8T2QHP0.1,A0A804PSI5.1,31.799,239,105,6,73,308,33,216,1.96e-19,81.6
A0A8T2QHP0.1,A0A9E7LCR9.1,28.140,430,226,15,77,453,101,500,2.78e-19,81.6
A0A4P1RTN8.1,A0A4P1RTN8.1,100.000,500,0,0,1,500,1,500,0.0,1009
A0A4P1RTN8.1,A0A445G487.1,71.800,500,113,3,1,496,1,476,0.0,632
A0A4P1RTN8.1,A0A9D5AS74.1,69.860,501,121,7,19,495,23,517,0.0,607
A0A4P1RTN8.1,A0A445BPW7.1,60.843,498,165,4,19,493,7,497,0.0,529
A0A4P1RTN8.1,A0A7J7C9N5.1,55.832,523,198,5,1,491,1,522,1.61e-177,501
A0A4P1RTN8.1,A0A6P5YBE8.1,55.323,526,192,8,3,492,4,522,7.37e-167,474
A0A4P1RTN8.1,A0A1R3IG29.1,54.962,524,192,9,7,492,10,527,1.97e-160,457
A0A4P1RTN8.1,A0A8B8MFL1.1,63.124,461,142,7,53,500,1,446,5.35e-160,453
A0A4P1RTN8.1,A0A059CY44.1,53.578,517,192,8,18,495,15,522,2.24e-147,424
A0A4P1RTN8.1,M1CKX2.1,52.591,521,206,10,1,489,1,512,2.07e-143,414
A0A4P1RTN8.1,A0A6A6MU27.1,50.000,500,167,12,1,477,1,440,1.32e-141,406
A0A4P1RTN8.1,A0A6P6X6Z4.1,49.531,533,221,12,1,493,1,525,2.95e-128,375
A0A4P1RTN8.1,V7AZL8.1,63.739,353,104,7,1,335,1,347,1.21e-120,349
A0A4P1RTN8.1,A0A061FV42.1,59.459,333,115,6,1,317,1,329,6.14e-113,330
A0A4P1RTN8.1,A0A9E7LCR9.1,36.140,487,232,11,19,463,73,522,7.19e-63,206
A0A4P1RTN8.1,A0A1R3HBE1.1,54.412,204,68,5,311,492,211,411,4.42e-60,195
A0A4P1RTN8.1,J3KVP0.1,33.663,404,220,12,51,439,29,399,5.85e-54,179
A0A4P1RTN8.1,A0A804PSI5.1,35.211,426,181,16,51,439,35,402,6.46e-47,160
A0A4P1RTN8.1,A0A8T2QHP0.1,29.209,493,243,21,47,494,71,502,3.60e-32,120
A0A4P1RTN8.1,A0A8T2T131.1,34.498,229,131,5,47,257,59,286,7.87e-28,107
A0A7J7C9N5.1,A0A7J7C9N5.1,100.000,524,0,0,1,524,1,524,0.0,1065
A0A7J7C9N5.1,A0A6P5YBE8.1,67.235,528,160,6,1,522,1,521,0.0,631
A0A7J7C9N5.1,A0A1R3IG29.1,67.358,530,156,8,3,522,4,526,0.0,602
A0A7J7C9N5.1,A0A059CY44.1,62.475,509,175,4,23,524,21,520,0.0,532
A0A7J7C9N5.1,M1CKX2.1,60.190,525,191,10,1,520,1,512,1.21e-177,502
A0A7J7C9N5.1,A0A4P1RTN8.1,55.832,523,198,5,1,522,1,491,2.78e-177,500
A0A7J7C9N5.1,A0A6P6X6Z4.1,57.993,538,199,12,1,524,1,525,2.08e-171,486
A0A7J7C9N5.1,A0A9D5AS74.1,55.969,511,204,5,14,522,19,510,1.47e-166,474
A0A7J7C9N5.1,A0A445BPW7.1,52.692,520,220,6,7,524,2,497,1.79e-159,454
